ID,Pair_Alphabet,Sex,Age
Family_19,B,F,18
Family_29,B,F,18
Family_31,A,F,18
Family_34,B,F,18
Family_8,B,M,18
Family_36,B,M,19
Family_7,A,F,19
Family_43,B,M,19
Family_31,B,M,20
Family_34,A,F,20
Family_32,B,F,21
Family_33,B,F,21
Family_11,B,M,22
Family_13,B,M,22
Family_19,A,F,22
Family_24,B,M,22
Family_33,A,F,23
Family_35,B,M,23
Family_41,A,M,23
Family_45,A,F,23
Family_45,B,F,23
Family_7,B,F,24
Family_8,A,F,24
Family_17,B,M,25
Family_36,A,F,25
Family_39,B,M,25
Family_11,A,M,26
Family_13,A,F,26
Family_23,B,F,26
Family_29,A,F,26
Family_41,B,M,26
Family_24,A,F,27
Family_32,A,F,27
Family_35,A,F,27
Family_43,A,F,27
Family_26,A,F,28
Family_26,B,M,28
Family_39,A,M,28
Family_17,A,M,29
Family_25,A,M,29
Family_25,B,F,29
Family_37,A,M,29
Family_40,A,F,29
Family_40,B,F,29
Family_21,A,M,30
Family_22,A,F,30
Family_37,B,F,30
Family_15,A,F,31
Family_23,A,M,31
Family_18,A,M,32
Family_21,B,M,33
Family_30,A,M,33
Family_18,B,F,34
Family_22,B,F,35
Family_15,B,M,36
Family_21,C,M,36
Family_4,A,F,37
Family_30,B,M,38
Family_38,B,M,38
Family_3,B,F,40
Family_20,A,F,41
Family_28,B,F,41
Family_4,B,M,41
Family_38,A,M,42
Family_4,D,M,43
Family_20,B,M,44
Family_3,A,F,44
Family_28,D,M,45
Family_4,C,M,46
Family_9,B,F,47
Family_28,A,F,52
Family_27,A,M,54
Family_2,A,M,56
Family_9,A,F,58
Family_2,B,M,60
Family_28,C,M,67
Family_28,E,F,68
Family_27,B,M,74