Name,Group
B cell,B cell
B immature,B cell
B memory,B cell
B naive,B cell
B1,B cell
CD39iTreg,CD4
CD39nTreg,CD4
CD39Treg,CD4
CD4,T cell
CD4 EMRA,CD4
CD4 memory,CD4
CD4 naive,CD4
CD8,T cell
CD8 EMRA,CD8
CD8 memory,CD8
CD8 naive,CD8
Dendritic cell,DC
Gamma delta T,T cell
iNKT,T cell
iTreg,CD4
mDC,DC
Monocyte,Monocyte
Monocyte Classical,Monocyte
Monocyte Inflammatory,Monocyte
Monocyte Patrolling,Monocyte
NK cell,NK cell
NKT,T cell
nTreg,CD4
pDC,DC
Plasmablast,B cell
Plasmablast IgA+,B cell
T cell,T cell
Treg,CD4